iter	RMSE
0	4.49485214
1	4.418869251
2	4.318816256
3	4.219015834
4	4.136204383
5	4.05592861
6	4.002046297
7	3.931692853
8	3.864524893
9	3.792799508
10	3.730104169
11	3.670625586
12	3.620193899
13	3.552943286
14	3.487829005
15	3.427327045
16	3.354680874
17	3.304490244
18	3.247232501
19	3.188741111
20	3.139573482
21	3.091367398
22	3.027367156
23	2.988920736
24	2.938372127
25	2.899748935
26	2.860602502
27	2.818228998
28	2.776598127
29	2.73626057
30	2.68719108
31	2.649677642
32	2.615580414
33	2.58304241
34	2.547466744
35	2.517229314
36	2.480309267
37	2.447755365
38	2.413680223
39	2.383397824
40	2.345268317
41	2.31389798
42	2.286117945
43	2.2459812
44	2.214138255
45	2.175473243
46	2.138274512
47	2.110649326
48	2.088255054
49	2.058844654
50	2.028145946
51	1.997937656
52	1.979001978
53	1.950845543
54	1.930621967
55	1.903156118
56	1.884410406
57	1.860990017
58	1.83325975
59	1.813924135
60	1.788104106
61	1.766658195
62	1.748932427
63	1.731519492
64	1.71589738
65	1.69324936
66	1.678525163
67	1.660949394
68	1.649199312
69	1.627227392
70	1.607171169
71	1.591434947
72	1.577473816
73	1.566019045
74	1.552427525
75	1.544528681
76	1.534213744
77	1.524740813
78	1.509921205
79	1.496138889
80	1.486077447
81	1.472643158
82	1.464703272
83	1.453741461
84	1.438744051
85	1.430990454
86	1.4158385
87	1.405517706
88	1.386836692
89	1.378884758
90	1.370846381
91	1.364467606
92	1.357662113
93	1.345933349
94	1.335484936
95	1.327842809
96	1.314943244
97	1.303033219
98	1.295451638
99	1.28620142
100	1.277925044
101	1.270938353
102	1.258160139
103	1.25255529
104	1.248093879
105	1.242902587
106	1.23339152
107	1.22841033
108	1.215671415
109	1.209202704
110	1.199121473
111	1.188729084
112	1.185554934
113	1.180710802
114	1.175653889
115	1.166072544
116	1.158095265
117	1.153490836
118	1.143999998
119	1.135790373
120	1.130839018
121	1.125798224
122	1.119837932
123	1.113294882
124	1.104181124
125	1.09792817
126	1.088351675
127	1.078494703
128	1.074327907
129	1.07022948
130	1.061873108
131	1.056756191
132	1.05313444
133	1.049790082
134	1.044675373
135	1.036847803
136	1.032061208
137	1.027448379
138	1.024500007
139	1.019211684
140	1.01506342
141	1.007778451
142	0.9989936991
143	0.9951905402
144	0.9922604745
145	0.9852311688
146	0.9777748006
147	0.9737824567
148	0.9680691186
149	0.965506016
150	0.962738624
151	0.9598535137
152	0.9522105107
153	0.9490777554
154	0.9436823366
155	0.9410524309
156	0.9359813558
157	0.931997237
158	0.9280197003
159	0.9239492274
160	0.9191499152
161	0.9149116912
162	0.9089383628
163	0.9025128247
164	0.8996619702
165	0.8963707471
166	0.894489518
167	0.8887610423
168	0.8857911945
169	0.8817127765
170	0.8791157376
171	0.8744746012
172	0.8688613295
173	0.8625027278
174	0.8569154744
175	0.8528961935
176	0.846993851
177	0.8456132789
178	0.8413884091
179	0.8365236113
180	0.8334945656
181	0.8314097008
182	0.828636707
183	0.824855392
184	0.820505434
185	0.816649323
186	0.8140086485
187	0.8093431576
188	0.8069309583
189	0.8000711419
190	0.7949301726
191	0.7915946993
192	0.7876751052
193	0.7844024408
194	0.7823452956
195	0.7781861752
196	0.7743052331
197	0.7719125372
198	0.7689267783
199	0.7652425909
200	0.7618901609
201	0.7583376423
202	0.7529596405
203	0.7509921476
204	0.7479743845
205	0.744343066
206	0.7410999367
207	0.7370739884
208	0.7337263321
209	0.7299680689
210	0.7259822371
211	0.7225954491
212	0.7196373441
213	0.7160131074
214	0.713520277
215	0.7108996488
216	0.7093181122
217	0.7057109186
218	0.7029731702
219	0.7015570545
220	0.6997814338
221	0.6972090322
222	0.6950321271
223	0.6920584821
224	0.6885454856
225	0.6852411375
226	0.6820860991
227	0.6797390241
228	0.6777786203
229	0.6759222942
230	0.6727251926
231	0.6690561704
232	0.6680681634
233	0.6657479642
234	0.6637231681
235	0.6606528021
236	0.6569110405
237	0.6554200205
238	0.653452596
239	0.6511088861
240	0.6494058032
241	0.6472235872
242	0.6451096585
243	0.6428760702
244	0.6412674127
245	0.640126188
246	0.6361978423
247	0.6336258714
248	0.6318566546
249	0.6300066215
250	0.627508159
251	0.6253095999
252	0.6240709428
253	0.6238495749
254	0.6231381541
255	0.6199471614
256	0.6192575065
257	0.6167830226
258	0.6139494996
259	0.6122347382
260	0.6109432568
261	0.6086758762
262	0.6073718654
263	0.6059860304
264	0.6038194965
265	0.6006241213
266	0.5994161985
267	0.5975234885
268	0.595883857
269	0.5946716558
270	0.5929925939
271	0.5913804041
272	0.5897946063
273	0.5887771017
274	0.5874911471
275	0.585409415
276	0.5828432227
277	0.5817425
278	0.5789007567
279	0.5751100868
280	0.5742051586
281	0.5722115822
282	0.5699534081
283	0.5686632713
284	0.5675826954
285	0.5659638527
286	0.5651931663
287	0.5640118166
288	0.563083001
289	0.5607637851
290	0.5593929917
291	0.5577159251
292	0.5564087478
293	0.5545370151
294	0.5536538216
295	0.5532544108
296	0.5531014491
297	0.5524826933
298	0.5513971353
299	0.5488711304
300	0.5483640644
301	0.5476158446
302	0.546006224
303	0.5447810898
304	0.542373238
305	0.5421074932
306	0.5398928839
307	0.539567564
308	0.5377462571
309	0.5365792816
310	0.5345432236
311	0.5336783657
312	0.5332758494
313	0.5329034438
314	0.5324112764
315	0.5321429382
316	0.5295692161
317	0.5282422116
318	0.5280753152
319	0.5271582948
320	0.5251810608
321	0.5250795704
322	0.5243238829
323	0.52291829
324	0.5205527682
325	0.5187094731
326	0.5169633871
327	0.5160703896
328	0.5141312305
329	0.5126582295
330	0.511814776
331	0.5103878968
332	0.5096836588
333	0.5091639337
334	0.509056338
335	0.5089344536
336	0.5083252292
337	0.5075199096
338	0.5074350392
339	0.5073423771
340	0.5059312839
341	0.5043976527
342	0.5028771086
343	0.5014005141
344	0.5010072007
345	0.5000187368
346	0.4983315121
347	0.4963314653
348	0.4956431255
349	0.4933690199
350	0.4932976806
351	0.4914011304
352	0.4897904901
353	0.4890677867
354	0.48718129
355	0.4862446736
356	0.4839437123
357	0.4821439227
358	0.4804481314
359	0.4796905022
360	0.4781243036
361	0.4768995731
362	0.4747728718
363	0.4729924246
364	0.4721169911
365	0.4710266082
366	0.4706593041
367	0.4701391829
368	0.4688621826
369	0.4684867644
370	0.4681305052
371	0.4674271946
372	0.4653717069
373	0.4641121357
374	0.4635033853
375	0.4615571959
376	0.4601821467
377	0.4588296156
378	0.4587725389
379	0.4584335055
380	0.4561839947
381	0.4558538395
382	0.4557240092
383	0.4545384393
384	0.4539966397
385	0.4526618696
386	0.4524322026
387	0.4517074837
388	0.4515948024
389	0.4502244414
390	0.4477666555
391	0.4466874191
392	0.4454778207
393	0.4441753159
394	0.4426447376
395	0.4423551477
396	0.4409143029
397	0.439597512
398	0.4385989846
399	0.4371896375
400	0.4365580717
401	0.4354502686
402	0.4340130024
403	0.4339564322
404	0.4331118949
405	0.4319549519
406	0.4316592306
407	0.4302787137
408	0.4281048203
409	0.4266079968
410	0.4247534055
411	0.4245490926
412	0.423699209
413	0.4227087632
414	0.4221716004
415	0.4214945063
416	0.4214116883
417	0.4209165773
418	0.4205142056
419	0.4190358055
420	0.4176724257
421	0.4163354047
422	0.4152676683
423	0.4143958823
424	0.4132863829
425	0.4119108025
426	0.4114878517
427	0.4108359721
428	0.4097299238
429	0.4083389604
430	0.4081086035
431	0.4076779755
432	0.4072967695
433	0.406202174
434	0.4046290844
435	0.4039167084
436	0.4026889782
437	0.4015074402
438	0.4004549137
439	0.3995136569
440	0.3992485359
441	0.3983531416
442	0.397803273
443	0.3967303378
444	0.3949191336
445	0.3943896771
446	0.3937375644
447	0.3924182972
448	0.3923797198
449	0.3908370648
450	0.3894388945
451	0.3881903506
452	0.3872030734
453	0.3856472537
454	0.3841216285
455	0.3821441937
456	0.3805571694
457	0.3801705832
458	0.3793747664
459	0.378132021
460	0.3775233075
461	0.3763939942
462	0.3759165332
463	0.3746788259
464	0.3744776359
465	0.3741646094
466	0.3732803784
467	0.3725231422
468	0.3717420867
469	0.3704613494
470	0.3701344576
471	0.3691268441
472	0.3689595187
473	0.3683304555
474	0.3671782788
475	0.3655106254
476	0.3643954974
477	0.3640614367
478	0.3634303451
479	0.3621832419
480	0.3614652533
481	0.3614239578
482	0.3603832492
483	0.3588044742
484	0.3575405707
485	0.3564139094
486	0.3554615967
487	0.3551738061
488	0.3551281737
489	0.3548685193
490	0.3544310563
491	0.3539156873
492	0.3535616507
493	0.3529163666
494	0.3516919168
495	0.3512249621
496	0.3501688955
497	0.3498221577
498	0.3487337801
499	0.3475379241
500	0.347205835
501	0.345632164
502	0.3446342905
503	0.3437699958
504	0.3432649305
505	0.3424494832
506	0.3423574172
507	0.3421042873
508	0.3418857852
509	0.3407693674
510	0.3403034244
511	0.3392736406
512	0.3389809394
513	0.3386096937
514	0.3383231486
515	0.337240651
516	0.3365132231
517	0.3356132798
518	0.335491552
519	0.3344427904
520	0.3334338771
521	0.332439082
522	0.3318141217
523	0.3308839697
524	0.3300529203
525	0.3288480834
526	0.328755447
527	0.3284485432
528	0.3278731919
529	0.3267229372
